emotion_label,nutrition_category,intended_risk_level,reason,source
burnout,balanced,high,Burnout is one of the main reasons people stop following a fitness routine. Good nutrition supports recovery but it does not cancel out burnout. The emotional signal stays as the main signal.,"Lew (2016); Pedersen, Hansen and Elmose-Østerlund (2021)"
burnout,mixed,high,Burnout is one of the main reasons people give up on a fitness journey. Mixed nutrition does not give a clear reason to lower the risk so the risk stays high.,"Lew (2016); Pedersen, Hansen and Elmose-Østerlund (2021)"
burnout,poor,high,Burnout is one of the main reasons people give up on a fitness journey. A trial found higher fatigue and worse mood with a high-glycaemic-load diet. Poor diet quality has also been linked with athlete burnout. This supports keeping the risk high when burnout is combined with poor nutrition.,"Lew (2016); Pedersen, Hansen and Elmose-Østerlund (2021); Breymeyer et al. (2016); Naderi et al. (2025); Morales-Suárez-Varela et al. (2023); Elibol, Çaylak and Göl (2025)"
low motivation,balanced,high,Low motivation is a main reason people stop exercising. Motivation is important for staying consistent with exercise. A balanced meal does not remove low motivation from the current check-in so the risk stays high.,Ryan et al. (1997); Teixeira et al. (2012)
low motivation,mixed,high,People are more likely to continue exercising when they are motivated. Low motivation is already a strong warning sign. Mixed nutrition does not give a clear reason to lower the risk.,Ryan et al. (1997); Teixeira et al. (2012); Lew (2016)
low motivation,poor,high,Low motivation is a main reason people stop exercising. Poor diet quality is linked with worse mood and higher fatigue. Poor diet is also linked with depressive outcomes. These findings support keeping the risk high when low motivation is combined with poor nutrition.,"Ryan et al. (1997); Teixeira et al. (2012); Breymeyer et al. (2016); Lassale et al. (2019); Elibol, Çaylak and Göl (2025)"
fatigue,balanced,medium,Fatigue can happen after hard training and does not always mean the person is going to stop exercising. Short-term fatigue can improve with enough recovery. Balanced nutrition also supports recovery. Medium risk is used because fatigue is still a warning sign.,"Meeusen et al. (2013); Thomas, Erdman and Burke (2016); Pedersen, Hansen and Elmose-Østerlund (2021)"
fatigue,mixed,medium,Fatigue can be a normal response to training. It does not always mean the person is losing motivation. Mixed nutrition does not clearly show that recovery is poor so the risk stays at medium.,Meeusen et al. (2013); Kerksick et al. (2017)
fatigue,poor,high,Fatigue becomes more concerning when recovery is not good enough. Carbohydrate and protein help with recovery after exercise. Poor nutrition can make recovery harder so fatigue with poor nutrition is treated as high risk.,"Meeusen et al. (2013); Naderi et al. (2025); Thomas, Erdman and Burke (2016); Kerksick et al. (2017)"
high motivation,balanced,low,Motivation is important for staying consistent with fitness. Balanced nutrition supports performance and recovery. Both signals are positive so the risk is low.,"Ryan et al. (1997); Teixeira et al. (2012); Thomas, Erdman and Burke (2016)"
high motivation,mixed,low,High motivation is linked with staying consistent with exercise. Mixed nutrition does not give a clear risk signal so the risk stays low.,Ryan et al. (1997); Teixeira et al. (2012); Kerksick et al. (2017)
high motivation,poor,low,Motivation is currently high. Poor diet quality is linked with worse mood higher fatigue and poorer recovery. These effects do not show that one poor meal will cause an immediate dropout risk. The risk stays low for the current check-in. Recommendations will take note of the poor meal choice.,"Thomas, Erdman and Burke (2016); Breymeyer et al. (2016); Naderi et al. (2025)"
neutral,balanced,low,There is no emotional signal showing burnout low motivation or fatigue. Balanced nutrition also supports normal recovery so there is no clear reason to increase the risk.,"Ryan et al. (1997); Teixeira et al. (2012); Thomas, Erdman and Burke (2016)"
neutral,mixed,low,A neutral emotional state does not show a clear dropout signal. Mixed nutrition also does not give a clear reason to increase the risk.,Teixeira et al. (2012); Kerksick et al. (2017)
neutral,poor,low,A neutral emotional state with one poor meal does not show a clear dropout signal. Poor diet quality can affect mood fatigue and recovery but the research does not show that one poor meal causes an immediate change in staying consistent with exercise. The risk stays low for the current check-in. Recommendations will take note of the poor meal choice.,Breymeyer et al. (2016); Lassale et al. (2019); Naderi et al. (2025)
