case_id,journal_id,reference_emotion,reference_transcript,audio_path,food_label,image_path,reference_nutrition_category
B3P2-C01,J01,burnout,For the past two weeks every workout has been overwhelming. I dread going and I am seriously thinking about quitting.,evaluation\data\objective2_recordings\J01.wav,"Almond milk, unsweetened | Banana, raw | Oats, raw | Peanut butter | Pear, raw | Plum, raw | Yogurt, Greek, nonfat milk, plain",evaluation\data\objective2_photos\balanced\c8acafe240ab9f750d019016e89e.jpeg,balanced
B3P2-C02,J01,burnout,For the past two weeks every workout has been overwhelming. I dread going and I am seriously thinking about quitting.,evaluation\data\objective2_recordings\J01.wav,"Grape leaves stuffed with rice | Rice, white and wild, cooked, fat not added in cooking | Tomatoes, cooked, from fresh, NS as to method",evaluation\data\objective2_photos\mixed\ab240c6f450f90bd1744703a1208.jpeg,mixed
B3P2-C03,J01,burnout,For the past two weeks every workout has been overwhelming. I dread going and I am seriously thinking about quitting.,evaluation\data\objective2_recordings\J01.wav,"Cabbage, green, cooked, made with oil | Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, fat added in cooking | Mushrooms, cooked, from fresh, made with oil | Rice, white, with soy-based sauce, fat not added in cooking | Tomatoes, cooked, from fresh, NS as to method",evaluation\data\objective2_photos\poor\ba31eff24717bdebcd612be524cf.jpeg,poor
B3P2-C04,J02,burnout,I keep forcing myself to train even though I feel mentally drained. I do not enjoy it anymore and want to stop.,evaluation\data\objective2_recordings\J02.wav,"Banana, raw | Blueberries, frozen, unsweetened | Flax seeds | Oatmeal, regular or quick, made with water, fat not added in cooking",evaluation\data\objective2_photos\balanced\2160e0c94609a30f7d189baebf36.jpeg,balanced
B3P2-C05,J02,burnout,I keep forcing myself to train even though I feel mentally drained. I do not enjoy it anymore and want to stop.,evaluation\data\objective2_recordings\J02.wav,Pad Thai with chicken,evaluation\data\objective2_photos\mixed\36535ffc4e898345e246fb615169.jpeg,mixed
B3P2-C06,J02,burnout,I keep forcing myself to train even though I feel mentally drained. I do not enjoy it anymore and want to stop.,evaluation\data\objective2_recordings\J02.wav,"Cheese, Mexican blend | Egg omelet or scrambled egg, with cheese, made without fat | Salsa, red, commercially-prepared | Tortilla, flour",evaluation\data\objective2_photos\poor\f17f699c44c989862e127087facf.jpeg,poor
B3P2-C07,J03,burnout,Trying to maintain my routine feels impossible. I feel emotionally exhausted and have started skipping my sessions.,evaluation\data\objective2_recordings\J03.wav,"Cereal (Kellogg's All-Bran Complete Wheat Flakes) | Granola, homemade | Milk, NFS | Nutritional powder mix, whey based, NFS",evaluation\data\objective2_photos\balanced\9a4b3ab54542af08b1eeb9890ccd.jpeg,balanced
B3P2-C08,J03,burnout,Trying to maintain my routine feels impossible. I feel emotionally exhausted and have started skipping my sessions.,evaluation\data\objective2_recordings\J03.wav,"Avocado, raw | Carrots, raw | Hot pepper sauce | Naan, Indian flatbread | Onions, mature, raw | Romaine lettuce, raw",evaluation\data\objective2_photos\mixed\51feb7eb4fb4a7b796a59d25ba8d.jpeg,mixed
B3P2-C09,J03,burnout,Trying to maintain my routine feels impossible. I feel emotionally exhausted and have started skipping my sessions.,evaluation\data\objective2_recordings\J03.wav,"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling",evaluation\data\objective2_photos\poor\95bb830f4b4ea3624f18a4c47f42.jpeg,poor
B3P2-C10,J05,low motivation,I planned to exercise today but I keep putting it off to the last minute. I have no drive to start.,evaluation\data\objective2_recordings\J05.wav,"Banana, raw | Blueberries, frozen, unsweetened | Cereal, granola | Milk, whole | Strawberries, frozen, unsweetened | Strawberries, raw",evaluation\data\objective2_photos\balanced\5145ed0c46dd85dada9d75be8e01.jpeg,balanced
B3P2-C11,J05,low motivation,I planned to exercise today but I keep putting it off to the last minute. I have no drive to start.,evaluation\data\objective2_recordings\J05.wav,"Chocolate, semi-sweet morsel | Maple syrup | Nutritional powder mix, whey based, NFS | Oatmeal, instant, plain, made with water, fat not added in cooking",evaluation\data\objective2_photos\mixed\5a64a91a4a968ccd0bcb6e0503b6.jpeg,mixed
B3P2-C12,J05,low motivation,I planned to exercise today but I keep putting it off to the last minute. I have no drive to start.,evaluation\data\objective2_recordings\J05.wav,"Avocado, raw | Beets, cooked, from canned, fat added in cooking, NS as to type of fat | Cheese, NFS | Italian dressing, made with vinegar and oil | Lettuce, Boston, raw",evaluation\data\objective2_photos\poor\0cb6c0dd47648a95c21ac24c396e.jpeg,poor
B3P2-C13,J06,low motivation,I have missed a few sessions because I cannot get myself interested.,evaluation\data\objective2_recordings\J06.wav,"Almond butter | Apple, raw | Oatmeal, regular or quick, made with non-dairy milk, fat not added in cooking",evaluation\data\objective2_photos\balanced\82f1eac84b69be7e89441050cc3c.jpeg,balanced
B3P2-C14,J06,low motivation,I have missed a few sessions because I cannot get myself interested.,evaluation\data\objective2_recordings\J06.wav,"Italian dressing, made with vinegar and oil | Spinach, raw | Squash, winter type, mashed, fat added in cooking, no sugar added in cooking | Turkey or chicken sausage",evaluation\data\objective2_photos\mixed\219b000c49728d7ac754c0941f34.jpeg,mixed
B3P2-C15,J06,low motivation,I have missed a few sessions because I cannot get myself interested.,evaluation\data\objective2_recordings\J06.wav,Croissant,evaluation\data\objective2_photos\poor\e9087b094e84843301857fff831f.jpeg,poor
B3P2-C16,J07,low motivation,My routine has become difficult to follow and I need encouragement to start training as consistently as before.,evaluation\data\objective2_recordings\J07.wav,"Pasta, whole grain, cooked",evaluation\data\objective2_photos\balanced\2efcf3ab4e4d8a1db0d868972ff5.jpeg,balanced
B3P2-C17,J07,low motivation,My routine has become difficult to follow and I need encouragement to start training as consistently as before.,evaluation\data\objective2_recordings\J07.wav,"Bread, French or Vienna",evaluation\data\objective2_photos\mixed\c58ca47149e09f658e0332d56296.jpeg,mixed
B3P2-C18,J07,low motivation,My routine has become difficult to follow and I need encouragement to start training as consistently as before.,evaluation\data\objective2_recordings\J07.wav,"Cake or cupcake, yellow, with icing or filling",evaluation\data\objective2_photos\poor\f4b578b347b5964201e51cfa230d.jpeg,poor
B3P2-C19,J09,fatigue,I completed my workout but my body felt heavy and I needed a lot of time to recover.,evaluation\data\objective2_recordings\J09.wav,"Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant | Pear, raw | Peas, green, cooked, from frozen, fat not added in cooking | Pepper, sweet, green, raw",evaluation\data\objective2_photos\balanced\35e299214ac282ceddaf72673278.jpeg,balanced
B3P2-C20,J09,fatigue,I completed my workout but my body felt heavy and I needed a lot of time to recover.,evaluation\data\objective2_recordings\J09.wav,"Cucumber pickles, sweet",evaluation\data\objective2_photos\mixed\702de1a547e388b58117b9f51215.jpeg,mixed
B3P2-C21,J09,fatigue,I completed my workout but my body felt heavy and I needed a lot of time to recover.,evaluation\data\objective2_recordings\J09.wav,"Butter, stick, unsalted | Cinnamon | Honey | Squash, winter type, baked, no fat or sugar added in cooking | Sugar, brown",evaluation\data\objective2_photos\poor\ec8785984522b998833a07baad03.jpeg,poor
B3P2-C22,J10,fatigue,I still want to train but I have been low on energy so I had to shorten my sessions this week.,evaluation\data\objective2_recordings\J10.wav,"Banana, raw | Chia seeds | Milk, low fat (1%) | Oatmeal, regular or quick, made with milk, fat not added in cooking | Sunflower seeds, plain, unsalted",evaluation\data\objective2_photos\balanced\337c26d04f3e8bdeaf84cf2e9b50.jpeg,balanced
B3P2-C23,J10,fatigue,I still want to train but I have been low on energy so I had to shorten my sessions this week.,evaluation\data\objective2_recordings\J10.wav,"Bread, whole wheat | Cauliflower, cooked, from fresh, made with oil | Cheese, goat | Chicken breast, baked, broiled, or roasted, skin not eaten, from raw | Eggplant, cooked, made with oil | Tomatoes, cooked, from fresh, NS as to method",evaluation\data\objective2_photos\mixed\a4c6bfc74924aeacf55cc4f84265.jpeg,mixed
B3P2-C24,J10,fatigue,I still want to train but I have been low on energy so I had to shorten my sessions this week.,evaluation\data\objective2_recordings\J10.wav,"Pancakes, plain",evaluation\data\objective2_photos\poor\5a72e1374ed08171699703685e31.jpeg,poor
B3P2-C25,J15,high motivation,I have followed my plan consistently and I feel confident about continuing.,evaluation\data\objective2_recordings\J15.wav,"Cucumber, raw | Guava, raw | Italian dressing, made with vinegar and oil | Sesame seeds | Spinach, raw | Sunflower seeds, plain, unsalted | Tomatoes, raw | Tuna, fresh, raw",evaluation\data\objective2_photos\balanced\da6208f24b13928ebd0ff2a62d3d.jpeg,balanced
B3P2-C26,J15,high motivation,I have followed my plan consistently and I feel confident about continuing.,evaluation\data\objective2_recordings\J15.wav,"Apple, raw",evaluation\data\objective2_photos\mixed\7687ea474df88bbeed6b7ebb51a1.jpeg,mixed
B3P2-C27,J15,high motivation,I have followed my plan consistently and I feel confident about continuing.,evaluation\data\objective2_recordings\J15.wav,"Cheese, Blue or Roquefort | Cheese, Colby Jack | Cheese, processed, with vegetables | Crackers, rice | Salami, NFS | Tomatoes, raw",evaluation\data\objective2_photos\poor\d8f6522443d2b73ec2505b1c37bc.jpeg,poor
