case_id,fitness_journal,true_meal_description,risk_label_low_medium_or_high
B3P2-C01,For the past two weeks every workout has been overwhelming. I dread going and I am seriously thinking about quitting.,"Almond milk, unsweetened | Banana, raw | Oats, raw | Peanut butter | Pear, raw | Plum, raw | Yogurt, Greek, nonfat milk, plain",high
B3P2-C02,For the past two weeks every workout has been overwhelming. I dread going and I am seriously thinking about quitting.,"Grape leaves stuffed with rice | Rice, white and wild, cooked, fat not added in cooking | Tomatoes, cooked, from fresh, NS as to method",high
B3P2-C03,For the past two weeks every workout has been overwhelming. I dread going and I am seriously thinking about quitting.,"Cabbage, green, cooked, made with oil | Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, fat added in cooking | Mushrooms, cooked, from fresh, made with oil | Rice, white, with soy-based sauce, fat not added in cooking | Tomatoes, cooked, from fresh, NS as to method",high
B3P2-C04,I keep forcing myself to train even though I feel mentally drained. I do not enjoy it anymore and want to stop.,"Banana, raw | Blueberries, frozen, unsweetened | Flax seeds | Oatmeal, regular or quick, made with water, fat not added in cooking",high
B3P2-C05,I keep forcing myself to train even though I feel mentally drained. I do not enjoy it anymore and want to stop.,Pad Thai with chicken,high
B3P2-C06,I keep forcing myself to train even though I feel mentally drained. I do not enjoy it anymore and want to stop.,"Cheese, Mexican blend | Egg omelet or scrambled egg, with cheese, made without fat | Salsa, red, commercially-prepared | Tortilla, flour",high
B3P2-C07,Trying to maintain my routine feels impossible. I feel emotionally exhausted and have started skipping my sessions.,"Cereal (Kellogg's All-Bran Complete Wheat Flakes) | Granola, homemade | Milk, NFS | Nutritional powder mix, whey based, NFS",high
B3P2-C08,Trying to maintain my routine feels impossible. I feel emotionally exhausted and have started skipping my sessions.,"Avocado, raw | Carrots, raw | Hot pepper sauce | Naan, Indian flatbread | Onions, mature, raw | Romaine lettuce, raw",high
B3P2-C09,Trying to maintain my routine feels impossible. I feel emotionally exhausted and have started skipping my sessions.,"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling",high
B3P2-C10,I planned to exercise today but I keep putting it off to the last minute. I have no drive to start.,"Banana, raw | Blueberries, frozen, unsweetened | Cereal, granola | Milk, whole | Strawberries, frozen, unsweetened | Strawberries, raw",medium
B3P2-C11,I planned to exercise today but I keep putting it off to the last minute. I have no drive to start.,"Chocolate, semi-sweet morsel | Maple syrup | Nutritional powder mix, whey based, NFS | Oatmeal, instant, plain, made with water, fat not added in cooking",high
B3P2-C12,I planned to exercise today but I keep putting it off to the last minute. I have no drive to start.,"Avocado, raw | Beets, cooked, from canned, fat added in cooking, NS as to type of fat | Cheese, NFS | Italian dressing, made with vinegar and oil | Lettuce, Boston, raw",high
B3P2-C13,I have missed a few sessions because I cannot get myself interested.,"Almond butter | Apple, raw | Oatmeal, regular or quick, made with non-dairy milk, fat not added in cooking",medium
B3P2-C14,I have missed a few sessions because I cannot get myself interested.,"Italian dressing, made with vinegar and oil | Spinach, raw | Squash, winter type, mashed, fat added in cooking, no sugar added in cooking | Turkey or chicken sausage",high
B3P2-C15,I have missed a few sessions because I cannot get myself interested.,Croissant,high
B3P2-C16,My routine has become difficult to follow and I need encouragement to start training as consistently as before.,"Pasta, whole grain, cooked",medium
B3P2-C17,My routine has become difficult to follow and I need encouragement to start training as consistently as before.,"Bread, French or Vienna",medium
B3P2-C18,My routine has become difficult to follow and I need encouragement to start training as consistently as before.,"Cake or cupcake, yellow, with icing or filling",medium
B3P2-C19,I completed my workout but my body felt heavy and I needed a lot of time to recover.,"Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant | Pear, raw | Peas, green, cooked, from frozen, fat not added in cooking | Pepper, sweet, green, raw",low
B3P2-C20,I completed my workout but my body felt heavy and I needed a lot of time to recover.,"Cucumber pickles, sweet",medium
B3P2-C21,I completed my workout but my body felt heavy and I needed a lot of time to recover.,"Butter, stick, unsalted | Cinnamon | Honey | Squash, winter type, baked, no fat or sugar added in cooking | Sugar, brown",medium
B3P2-C22,I still want to train but I have been low on energy so I had to shorten my sessions this week.,"Banana, raw | Chia seeds | Milk, low fat (1%) | Oatmeal, regular or quick, made with milk, fat not added in cooking | Sunflower seeds, plain, unsalted",medium
B3P2-C23,I still want to train but I have been low on energy so I had to shorten my sessions this week.,"Bread, whole wheat | Cauliflower, cooked, from fresh, made with oil | Cheese, goat | Chicken breast, baked, broiled, or roasted, skin not eaten, from raw | Eggplant, cooked, made with oil | Tomatoes, cooked, from fresh, NS as to method",medium
B3P2-C24,I still want to train but I have been low on energy so I had to shorten my sessions this week.,"Pancakes, plain",medium
B3P2-C25,I have followed my plan consistently and I feel confident about continuing.,"Cucumber, raw | Guava, raw | Italian dressing, made with vinegar and oil | Sesame seeds | Spinach, raw | Sunflower seeds, plain, unsalted | Tomatoes, raw | Tuna, fresh, raw",low
B3P2-C26,I have followed my plan consistently and I feel confident about continuing.,"Apple, raw",low
B3P2-C27,I have followed my plan consistently and I feel confident about continuing.,"Cheese, Blue or Roquefort | Cheese, Colby Jack | Cheese, processed, with vegetables | Crackers, rice | Salami, NFS | Tomatoes, raw",low
B3P2-C28,My energy is good and my goals feel achievable. I am eager for my next workout.,"Carrots, cooked, from fresh, made with oil | Cilantro, raw | Garlic, cooked | Naan, Indian flatbread | Onions, cooked, from fresh, made with oil | Pinto, calico, or red Mexican beans, dry, cooked, made with oil",low
B3P2-C29,My energy is good and my goals feel achievable. I am eager for my next workout.,"Asparagus, cooked, from fresh, made with oil | Cilantro, raw | Pasta with tomato-based sauce, and added vegetables, home recipe | Red kidney beans, dry, cooked, fat not added in cooking",low
B3P2-C30,My energy is good and my goals feel achievable. I am eager for my next workout.,"Bulgur, fat not added in cooking | Cheese, Feta | Chives, raw | Eggplant, cooked, made with oil | Lemon juice, 100%, freshly squeezed | Lentils, dry, cooked, fat not added in cooking | Olive oil | Olives, black | Onions, young green, raw | Oregano | Parsley, raw | Salt, table",low
B3P2-C31,I completed today's planned workout and recorded what I ate afterward.,"Banana, raw | Cereal (Kellogg's All-Bran Complete Wheat Flakes) | Granola, homemade | Milk, whole | Nutritional powder mix, whey based, NFS",low
B3P2-C32,I completed today's planned workout and recorded what I ate afterward.,"Black, brown, or Bayo beans, dry, cooked, fat not added in cooking | Cheese, Mexican blend | Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce | Corn, yellow, cooked, from frozen, fat not added in cooking",low
B3P2-C33,I completed today's planned workout and recorded what I ate afterward.,"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling | Persimmon, raw | Raspberries, raw, NS as to color",low
B3P2-C34,This week I followed two scheduled sessions and did not face many difficulties.,"Almonds, unroasted | Date | Milk, whole | Oatmeal, regular or quick, made with water, fat not added in cooking",low
B3P2-C35,This week I followed two scheduled sessions and did not face many difficulties.,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce | Potato, boiled, from fresh, peel eaten, made with oil",low
B3P2-C36,This week I followed two scheduled sessions and did not face many difficulties.,"Avocado, raw",low
