journal_id,transcript
J01,For the past two weeks every workout has been overwhelming. I dread going and I am seriously thinking about quitting.
J02,I keep forcing myself to train even though I feel mentally drained. I do not enjoy it anymore and want to stop.
J03,Trying to maintain my routine feels impossible. I feel emotionally exhausted and have started skipping my sessions.
J05,I planned to exercise today but I keep putting it off to the last minute. I have no drive to start.
J06,I have missed a few sessions because I cannot get myself interested.
J07,My routine has become difficult to follow and I need encouragement to start training as consistently as before.
J09,I completed my workout but my body felt heavy and I needed a lot of time to recover.
J10,I still want to train but I have been low on energy so I had to shorten my sessions this week.
J15,I have followed my plan consistently and I feel confident about continuing.
J16,My energy is good and my goals feel achievable. I am eager for my next workout.
J17,I completed today's planned workout and recorded what I ate afterward.
J18,This week I followed two scheduled sessions and did not face many difficulties.
