dataset,sample_id,speaker_id,audio_path,reference
voxpopuli_en_accented,vox-en_fi-20120419-0900-PLENARY-3-en_20120419-10-57-53_8,112611,evaluation/data/voxpopuli_accented/vox-en_fi-20120419-0900-PLENARY-3-en_20120419-10-57-53_8.wav,i would be interested there is i don't understand the whole question
voxpopuli_en_accented,vox-en_de-20171114-0900-PLENARY-17-en_20171114-18-39-05_4,28124,evaluation/data/voxpopuli_accented/vox-en_de-20171114-0900-PLENARY-17-en_20171114-18-39-05_4.wav,tell us now what do you prefer
voxpopuli_en_accented,vox-en_fi-20151006-0900-PLENARY-12-en_20151006-15-38-54_7,124736,evaluation/data/voxpopuli_accented/vox-en_fi-20151006-0900-PLENARY-12-en_20151006-15-38-54_7.wav,and how you think also about the cup twenty-one one in paris how it affects and how will commission advance the emission test requirements to improve the mark get surveillance in europe
voxpopuli_en_accented,vox-en_cs-20150427-0900-PLENARY-17-en_20150427-21-51-55_0,124713,evaluation/data/voxpopuli_accented/vox-en_cs-20150427-0900-PLENARY-17-en_20150427-21-51-55_0.wav,colleague i have been already said many times that terrorism is a a problem that has been tackled internationally but let me here put
voxpopuli_en_accented,vox-en_nl-20200212-0900-PLENARY-en_20200212-19-44-05_2,125020,evaluation/data/voxpopuli_accented/vox-en_nl-20200212-0900-PLENARY-en_20200212-19-44-05_2.wav,fifty million euro super yard was dutch her thirty million
voxpopuli_en_accented,vox-en_de-20090506-0900-PLENARY-15-en_20090506-21-28-08_5,36208,evaluation/data/voxpopuli_accented/vox-en_de-20090506-0900-PLENARY-15-en_20090506-21-28-08_5.wav,thank you very much and i think mrs kaufman
voxpopuli_en_accented,vox-en_sk-20200115-0900-PLENARY-en_20200115-18-05-48_7,103746,evaluation/data/voxpopuli_accented/vox-en_sk-20200115-0900-PLENARY-en_20200115-18-05-48_7.wav,without judicial independence there is no european union thank you very much
voxpopuli_en_accented,vox-en_cs-20110927-0900-PLENARY-5-en_20110927-12-06-37_2,4274,evaluation/data/voxpopuli_accented/vox-en_cs-20110927-0900-PLENARY-5-en_20110927-12-06-37_2.wav,the president ias was there i saw him on television
voxpopuli_en_accented,vox-en_lt-20140916-0900-PLENARY-3-en_20140916-09-25-31_6,124766,evaluation/data/voxpopuli_accented/vox-en_lt-20140916-0900-PLENARY-3-en_20140916-09-25-31_6.wav,who is that judge taking a final decision and imposing heart situation or on neighboring country colleagues many of us were taken by surprise after september twelfth announcement on poston of implementation of eu ukraine association agreement for fifteen months in fact
voxpopuli_en_accented,vox-en_et-20090917-0900-PLENARY-3-en_20090917-11-10-37_1,97136,evaluation/data/voxpopuli_accented/vox-en_et-20090917-0900-PLENARY-3-en_20090917-11-10-37_1.wav,commission should be in favor of naco secondary wish commission to be
